Sector,States,Domain,Note
assistive technology,['virginia'],vats.org,Virginia Assistive Technology System -- Note added 7/11/14 19:06
career education,['virginia'],vcef.net,Virginia Career Education Foundation is a non-profit organization that works to increase the number of qualified applicants available to fill technical positions throughout the Commonwealth of Virginia. -- Note added 7/11/14 19:07
department blind,['virginia'],vdbvi.org,Virginia Department for the Blind and Vision Impaired -- Note added 7/11/14 19:09
department deaf,['virginia'],vddhh.org,Virginia Department for the Deaf and Hard of Hearing (VDDHH) -- Note added 7/11/14 19:09
's vendor,['north carolina'],vendor.ncgov.com,State of North Carolina's Vendor Registration -- Note added 1/14/14 13:04
arts council,['vermont'],vermontartscouncil.org,Vermont Arts Council -- Note added 8/18/14 5:35
historical society,['vermont'],vermonthistory.org,Vermont Historical Society -- Note added 8/18/14 5:36
travel tourism,['vermont'],VermontVacation.com,Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19
housing development,['virginia'],vhda.com,Virginia Housing Development Authority -- Note added 7/11/14 19:10
housing finance,['vermont'],vhfa.org,Vermont Housing Finance Agency -- Note added 8/18/14 5:37
horse industry,['virginia'],vhib.org,The Virginia Horse Industry Board is responsible for the promotion and economic development of the horse industry in Virginia and operates through the Virginia Department of Agriculture and Consumer Services. -- Note added 7/11/14 19:12
industries blind,['virginia'],vibonline.org,"Virginia Industries for the Blind, Commonwealth of Virginia -- Note added 9/3/15 11:46"
department education,['virgin islands'],vide.vi,Virgin Islands Department of Education -- Note added 8/18/14 14:08
inspector general,['virgin islands'],viig.org,Office of the Virgin Islands Inspector General -- Note added 8/18/14 14:13
police department,['virgin islands'],vipd.gov.vi,U.S. Virgin Islands Police Department -- Note added 8/18/14 14:16
travel tourism,['virginia'],virginia.org,Travel and Tourism Sites for Virginia -- Note added 6/6/13 19:11
college savings,['virginia'],virginia529.com,Virginia College Savings Plan -- Note added 7/11/14 19:18
economic development,['virginia'],virginiaallies.org,Virginia Economic Development Partnership's Ally Information Exchange -- Note added 7/11/14 20:17
department transportation,['virginia'],virginiadot.org,Virginia Department of Transportation -- Note added 7/11/14 20:18
resources authority,['virginia'],virginiaresources.org,Virginia Resources Authority -- Note added 7/11/14 20:19
travel tourism,['california'],visitcalifornia.com,Travel and Tourism Site for California -- Note added 8/27/13 12:59
welcome centers,['california'],visitcwc.com,California Welcome Centers -- Note added 8/27/13 12:58
travel tourism,['delaware'],visitdelaware.com,Travel and Tourism Sites for Delaware -- Note added 6/6/13 19:11
travel tourism,['florida'],visitflorida.com,Travel and Tourism Site for Florida -- Note added 6/6/13 19:15
travel tourism,[],visitguam.org,Travel and Tourism Sites for Guam -- Note added 6/6/13 19:11
travel tourism,['idaho'],visitidaho.org,Travel and Tourism Site for Idaho -- Note added 6/6/13 19:48
travel tourism,['maine'],visitmaine.com,Travel and Tourism Sites for Maine -- Note added 6/6/13 19:11
travel tourism,['maryland'],visitmaryland.org,Travel and Tourism Site for Maryland -- Note added 6/6/13 19:17
travel tourism,['mississippi'],visitmississippi.org,Travel and Tourism Sites for Mississippi -- Note added 6/6/13 19:11
travel tourism,['missouri'],visitmo.com,Travel and Tourism Site for Missouri -- Note added 6/6/13 19:34
travel tourism,['montana'],visitmt.com,Travel and Tourism Site for Montana -- Note added 6/6/13 19:33
travel tourism,['north carolina'],visitnc.com,Travel and Tourism Site for North Carolina -- Note added 6/6/13 19:33
travel tourism,['nebraska'],visitnebraska.com,Travel and Tourism Site for Nebraska -- Note added 6/6/13 19:33
travel tourism,['pennsylvania'],visitpa.com,Travel and Tourism Site for Pennsylvania -- Note added 6/6/13 19:32
travel tourism,['rhode island'],visitrhodeisland.com,Travel and Tourism Site for Rhode Island -- Note added 6/6/13 19:32
travel tourism,['virgin islands'],visitusvi.com,Travel and tourism site for the US Virgin Islands -- Note added 6/6/13 19:47
travel tourism,['utah'],visitutah.com,Travel and Tourism Site for Utah -- Note added 6/6/13 19:31
supreme court,['virgin islands'],visupremecourt.org,Supreme Court of the United States Virgin Islands -- Note added 8/18/14 14:06
500 statewide,['florida'],vivaflorida.org,"Viva Florida 500 is a statewide initiative led by the Florida Department of State, under the leadership of Governor Rick Scott, to highlight the 500 years of historic people, places and events in present-day Florida since the arrival of Juan Ponce de Leon to the land he named La Florida in 1513. See more at http://www.vivaflorida.org/About-Viva-Florida/ -- Note added 7/23/14 14:01"
museum natural,['virginia'],vmnh.net,"Virginia Museum of Natural History in Martinsville, VA -- Note added 7/11/14 20:20"
governor 's,['florida'],volunteerflorida.org,Florida Governor's Commission on Volunteerism and Community Service -- Note added 11/9/15 19:00
commission volunteer,['mississippi'],volunteermississippi.org,"Volunteer Mississippi, A Mississippi Commission for Volunteer Service (MCVS) -- Note added 7/28/14 14:58"
commission volunteerism,['north carolina'],volunteernc.org,North Carolina Commission on Volunteerism and Community Service -- Note added 11/10/15 20:34
rehabilitation center,['virginia'],vrcbvi.org,Virginia Rehabilitation Center for the Blind and Vision Impaired -- Note added 8/27/15 15:09
rural water,['virginia'],vrwa.org,Virginia Rural Water Association -- Note added 7/23/13 19:42
state bar,['virginia'],vsb.org,Virginia State Bar -- Note added 7/11/14 20:21
national guard,['vermont'],vtguard.com,Vermont National Guard -- Note added 1/23/14 14:03
Unknown,['vermont'],vtlottery.com,Vermont Lottery -- Note added 6/12/13 14:27
blueberry commission,['washington'],wablueberrycomm.org,Washington Blueberry Commission -- Note added 11/12/14 6:30
hardwoods commission,['washington'],wahardwoodscomm.com,Washington Hardwoods Commission -- Note added 11/12/14 6:29
state lottery,['washington'],walottery.com,Washington State Lottery -- Note added 12/2/14 7:23
state seed,['washington'],waseedpotato.com,Washington State Seed Potato Commission -- Note added 11/12/14 6:26
travel tourism,[],washington.org,Travel and Tourism Site for the District of Columbia -- Note added 6/6/13 19:31
air national,['washington'],washingtonairguard.org,Washington Air National Guard -- Note added 1/3/14 13:08
army national,['washington'],washingtonarmyguard.org,Washington Army National Guard -- Note added 1/23/14 14:03
national guard,['washington'],washingtonguard.org,Washington National Guard -- Note added 1/23/14 14:03
state wine,['washington'],washingtonwine.org,Washington State Wine Commission -- Note added 11/12/14 6:23
association sheriffs,['washington'],waspc.org,Washington Association of Sheriffs and Police Chiefs -- Note added 11/12/14 6:22
waterparkin ',['mississippi'],waterparkin.com,"Waterparkin', a website of the Pat Harrison Waterway District (PHWD) a Mississippi State Agency that provides camping, cabins and recreational facilities in Mississippi. See historical snaphot at: http://web.archive.org/web/20101224004547/http://waterparkin.com/  -- Note added 1/13/14 20:28"
way lived,['north carolina'],waywelivednc.com,"The Way We Lived in North Carolina, presented by http://www.ah.dcr.state.nc.us/ The North Carolina Office of Archives & History. -- Note added 8/13/14 17:41"
state department,['wisconsin'],wdfi.org,State of Wisconsin Department of Financial Institutions -- Note added 8/11/14 5:34
cooperative extension,['rhode island'],web.uri.edu/riaes/extension,University of Rhode Island Cooperative Extension -- Note added 6/7/13 18:31
economic development,['washington'],wedfa.org,Washington Economic Development Finance Authority -- Note added 11/12/14 6:21
women 's,[],whb.ncpublichealth.com,"Women's Health Branch, NC Division of Public Health -- Note added 7/26/13 15:11"
housing economic,['wisconsin'],wheda.com,Wisconsin Housing and Economic Development Authority -- Note added 8/11/14 5:30
higher education,['washington'],whefa.org,Washington Higher Education Facilities Authority -- Note added 4/8/14 18:33
department wildlife,['oklahoma'],wildlifedepartment.com,Oklahoma Department of Wildlife Conservation - http://www.wildlifedepartment.com/  -- Note added 10/29/13 15:11
Unknown,['wisconsin'],wilottery.com,Wisconsin Lottery -- Note added 6/12/13 14:28
Unknown,['virgin islands'],winusvilottery.com,Virgin Islands Lottery -- Note added 6/12/13 14:29
historical society,['wisconsin'],wisconsinhistory.org,Wisconsin Historical Society -- Note added 8/11/14 5:26
state public,['wisconsin'],wisspd.org,Wisconsin State Public Defender's Office -- Note added 6/14/13 17:38
register deeds,['wisconsin'],wrdaonline.org,Register of Deeds Association of Wisconsin -- Note added 8/11/14 5:23
nc dept,[],wrightschool.org,"NC Dept of Health and Human services, division of State operated healthcare facilities -- Note added 9/14/15 20:51"
state convention,['washington'],wscc.com,Washington State Convention Center -- Note added 11/6/14 7:30
state commission,['washington'],wscpr.org,Washington State Commission on Pesticide Registration -- Note added 11/6/14 7:32
state housing,['washington'],wshfc.org,Washington State Housing Finance Commission -- Note added 11/6/14 7:27
state school,['washington'],wssb.org,Washington State School for the Blind -- Note added 7/31/13 16:31
department agriculture,['west virginia'],wvagriculture.org,West Virginia Department of Agriculture -- Note added 3/31/14 13:07
department commerce,['west virginia'],wvcommerce.org,West Virginia Department of Commerce -- Note added 3/24/14 16:50
division culture,['west virginia'],wvculture.org,West Virginia Division of Culture and History -- Note added 3/31/14 13:08
department health,['west virginia'],wvdhhr.org,West Virginia Department of Health and Human Resources -- Note added 7/24/14 5:50
housing development,['west virginia'],wvhdf.com,West Virginia Housing Development Fund -- Note added 7/24/14 5:51
higher education,['west virginia'],wvhepc.com,West Virginia Higher Education Policy Commission -- Note added 3/31/14 13:12
department commerce,['west virginia'],wvlabor.com,"West Virginia Department of Commerce, Division of Labor -- Note added 7/24/14 5:52"
Unknown,['west virginia'],wvlottery.com,West Virginia Lottery -- Note added 6/12/13 14:29
network educational,['west virginia'],wvnet.edu,West Virginia Network for Educational Telecomputing -- Note added 7/24/14 5:54
consolidated public,['west virginia'],wvretirement.com,West Virginia Consolidated Public Retirement Board -- Note added 3/31/14 13:33
state parks,['west virginia'],wvstateparks.com,West Virginia State Parks -- Note added 3/31/14 13:34
state treasurer,['west virginia'],wvsto.com,West Virginia State Treasurer's Office -- Note added 3/31/14 13:35
travel tourism,['west virginia'],wvtourism.com,Travel and Tourism Site for West Virginia -- Note added 6/6/13 19:18
water development,['west virginia'],wvwda.org,West Virginia Water Development Authority -- Note added 7/24/14 5:57
army national,['montana'],www.montanaguard.com/,Montana Army National Guard -- Note added 3/2/15 6:52
business council,['wyoming'],wyomingbusiness.org,Wyoming Business Council -- Note added 6/7/13 16:41
travel tourism,['wyoming'],wyomingtourism.org,Travel and Tourism Site for Wyoming -- Note added 6/6/13 19:31
economic development,['virginia'],yesvirginia.org,"Virginia Economic Development Partnership. As a state authority, the Partnership is governed by a 25 member http://yesvirginia.org/AboutUs/BoardOfDirectors Board Of Directors comprised of businesspersons from around Virginia, each of whom is appointed by the http://www.governor.virginia.gov Governor and the General Assembly.  -- Note added 11/20/13 18:52"
