Sector,States,Domain,Note
environmental trust,['nebraska'],environmentaltrust.org,Nebraska Environmental Trust -- Note added 12/6/13 19:52
site east-west,[],ewgateway.org,This is a site of the east-west gateway Council of Government in the bi-state St. Louis area. -- Note added 10/1/15 20:20
executive action,[],exact-me.org,Executive Action Team (EXACT) Multilateral Working Group on Water Resources -- Note added 8/19/13 16:18
travel tourism,['washington'],experiencewa.com,Travel and tourism site for Washington State -- Note added 6/6/13 19:36
travel tourism,['georgia'],exploregeorgia.org,Travel and Tourism Site for Georgia -- Note added 6/6/13 19:36
travel tourism,['minnesota'],exploreminnesota.com,Travel and tourism site for state of Minnesota hosted by Explore Minnesota Tourism -- Note added 4/26/15 2:33
cooperative extension,['virginia'],ext.vt.edu,Virginia Cooperative Extension  -- Note added 6/6/14 20:29
state university,['washington'],ext.wsu.edu,Washington State University Extension -- Note added 11/20/14 7:10
university extension,['west virginia'],ext.wvu.edu,West Virginia University Extension Service -- Note added 7/24/14 5:33
state university,['iowa'],extension.iastate.edu,Iowa State University Extension -- Note added 8/25/15 20:26
university extension,['illinois'],extension.illinois.edu,University of Illinois Extension -- Note added 11/20/13 15:35
cooperative extension,['new mexico'],extension.nmsu.edu,New Mexico Cooperative Extension Service -- Note added 7/25/13 17:39
state university,['oregon'],extension.oregonstate.edu,Oregon State University Extension Service -- Note added 6/20/14 16:52
penn state,[],extension.psu.edu,Penn State Extension -- Note added 9/30/14 13:18
purdue (,['indiana'],extension.purdue.edu,Purdue (Indiana) Cooperative Extension -- Note added 7/19/13 13:34
cooperative extension,['delaware'],extension.udel.edu,University of Delaware Cooperative Extension Service -- Note added 6/7/13 16:52
univ extension,['maine'],extension.umaine.edu,Univ of Maine extension -- Note added 8/27/15 18:13
university extension,['minnesota'],extension.umn.edu,University of Minnesota Extension -- Note added 12/6/13 16:23
univ nh,[],extension.unh.edu,Univ of NH -- Note added 8/28/15 18:52
& ndash,['nebraska'],extension.unl.edu,University of Nebraska&ndash;Lincoln Extension -- Note added 11/20/13 19:17
